1;2019-000001;1;1;1;3;3;2;8;612.25;355.11;2;3
2;2019-000001;1;2;2;3;3;2;22;581.64;290.82;2;3
3;2019-000001;1;5;5;3;3;2;22;494.99;272.24;2;3
4;2019-000001;1;7;4;3;3;2;22;314.99;170.09;2;3
5;2019-000001;1;11;4;3;3;2;22;299.99;167.99;2;3
6;2019-000001;1;9;4;3;3;2;6;449.99;202.50;2;3
7;2019-000001;1;10;2;3;3;2;6;522.49;219.45;2;3
8;2019-000001;1;12;2;3;3;2;8;179.99;97.19;2;3
9;2019-000001;1;13;6;3;3;2;32;227.99;118.55;2;3
10;2019-000001;1;15;6;3;3;2;32;215.99;116.63;2;3
11;2019-000002;2;1;1;4;4;3;14;612.25;355.11;1;2
12;2019-000002;2;2;2;4;4;3;9;581.64;290.82;1;2
13;2019-000002;2;4;4;4;4;3;14;549.99;236.50;1;2
14;2019-000002;2;6;2;4;4;3;22;404.99;242.99;1;2
15;2019-000002;2;7;4;4;4;3;19;314.99;170.09;1;2
16;2019-000002;2;9;4;4;4;3;16;449.99;202.50;1;2
17;2019-000002;2;10;2;4;4;3;16;522.49;219.45;1;2
18;2019-000002;2;12;2;4;4;3;16;179.99;97.19;1;2
19;2019-000002;2;14;2;4;4;3;32;170.99;102.59;1;2
20;2019-000003;3;1;1;6;6;4;13;612.25;355.11;4;3
21;2019-000003;3;4;4;6;6;4;22;549.99;236.50;4;3
22;2019-000003;3;11;4;6;6;4;19;299.99;167.99;4;3
23;2019-000003;3;13;6;6;6;4;14;227.99;118.55;4;3
24;2019-000003;3;14;2;6;6;4;22;170.99;102.59;4;3
25;2019-000003;3;15;6;6;6;4;24;215.99;116.63;4;3
26;2019-000004;4;1;1;7;7;2;14;612.25;355.11;4;1
27;2019-000004;4;2;2;7;7;2;14;581.64;290.82;4;1
28;2019-000004;4;8;2;7;7;2;6;349.99;181.99;4;1
29;2019-000004;4;11;4;7;7;2;6;299.99;167.99;4;1
30;2019-000004;4;15;6;7;7;2;32;215.99;116.63;4;1
31;2019-000005;5;1;1;8;8;2;19;612.25;355.11;4;3
32;2019-000005;5;2;2;8;8;2;21;581.64;290.82;4;3
33;2019-000005;5;6;2;8;8;2;14;404.99;242.99;4;3
34;2019-000005;5;11;4;8;8;2;4;299.99;167.99;4;3
35;2019-000005;5;12;2;8;8;2;32;179.99;97.19;4;3
36;2019-000005;5;13;6;8;8;2;32;227.99;118.55;4;3
37;2019-000005;5;14;2;8;8;2;32;170.99;102.59;4;3
38;2019-000005;5;15;6;8;8;2;48;215.99;116.63;4;3
39;2019-000006;6;1;1;10;10;1;32;612.25;355.11;3;2
40;2019-000006;6;2;2;10;10;1;32;581.64;290.82;3;2
41;2019-000006;6;4;4;10;10;1;24;549.99;236.50;3;2
42;2019-000006;6;5;5;10;10;1;32;494.99;272.24;3;2
43;2019-000006;6;6;2;10;10;1;32;404.99;242.99;3;2
44;2019-000006;6;7;4;10;10;1;24;314.99;170.09;3;2
45;2019-000006;6;8;2;10;10;1;24;349.99;181.99;3;2
46;2019-000006;6;11;4;10;10;1;4;299.99;167.99;3;2
47;2019-000006;6;12;2;10;10;1;32;179.99;97.19;3;2
48;2019-000006;6;13;6;10;10;1;81;227.99;118.55;3;2
49;2019-000006;6;14;2;10;10;1;32;170.99;102.59;3;2
50;2019-000006;6;15;6;10;10;1;65;215.99;116.63;3;2
51;2019-000007;7;1;1;12;12;3;22;612.25;355.11;4;1
52;2019-000007;7;2;2;12;12;3;17;581.64;290.82;4;1
53;2019-000007;7;5;5;12;12;3;21;494.99;272.24;4;1
54;2019-000007;7;8;2;12;12;3;9;349.99;181.99;4;1
55;2019-000007;7;3;3;12;12;3;1;551.02;225.92;4;1
56;2019-000007;7;12;2;12;12;3;32;179.99;97.19;4;1
57;2019-000007;7;15;6;12;12;3;65;215.99;116.63;4;1
58;2019-000008;8;1;1;13;14;3;22;612.25;355.11;1;2
59;2019-000008;8;2;2;13;14;3;17;581.64;290.82;1;2
